职位名称,关键词,薪水,城市,公司名称,技能要求,工作经验,招聘类型,产业链环节,获取时间,职位详情
资产负债数据研发,"数据开发,数据分析",10-15K,厦门,建信金融科技有限责任公司,"SQL,Python,Shell,大数据",应届生,校招,数据中心其他,2023/1/6,"工作内容：
1.负责资产负债管理后台数据相关开发工作包括但不限于数据模型设计、ETL开发实施等
工作要求：
1.在校/应届，全日制本科及以上学历，计算机、软件工程等相关专业；
2.掌握主流数据库之一，如Greenplum、Teradata、Oracle、MySQL等；
3.熟悉Linux、UNIX环境；
4.掌握SQL、Perl、Python、Shell等一种编程语言；
5.有较好的综合分析能力，具有较强的沟通表达能力和执行力；"
数据专员（见习生）,"数据开发,数据分析",3-4K,广州,广东数鼎科技有限公司,择优转正,应届生,校招,数据中心其他,2023/1/6,"数据开发/算法&分析方向，表现优秀可获得转正机会。
（见习生职位仅对21或22年毕业尚未就业的毕业生）
主要职责：
1、协助完成数据相关工作内容，根据已有的数据标准、元数据、数据质量、数据安全等要求进行数据清洗，数据标注，数据匹配等。
2、处理非结构化数据的转换和标准化入库。
3、支持各部门项目数据相关基础工作，比如翻译、数据处理。
4、有算法基础的人员可参与算法分析相关项目。
任职资格：
1、统计学、计算机科学、汽车、信息管理等相关专业毕业，本科学历。
2、熟练Excel主要公式函数，了解Mysql或Mango数据库，掌握数据库增删改查的基本功能；如对算法方向感兴趣需熟悉Python。
3、对数字敏感，有兴趣了解汽车知识。
4、一定的信息搜集及处理能力、逻辑分析能力，能基于业务读懂数据。
5、细心，责任心强，具备良好的学习能力、沟通能力，沉稳踏实。"
数据研发工程师,"数据开发,数据分析",22-23K,杭州,阿里巴巴（中国）网络技术有限公司,"SQL,Python,Java,Shell,Spark,Hadoop,HDFS,MapReduce",应届生,校招,数据中心其他,2023/1/6,"毕业起止时间：2021年11月~2022年10月（国内外院校皆相同，以毕业证时间为准）
面向22届，招校招和实习生，阿里集团，数据技术及产品团队。流程大概通过招聘，发放offer和实习。
招聘22届毕业，毕业时间为2021.11~2022.10，招聘java开发岗和数据研发岗。
我们的产品，可见阿里云数据中台：https://dp.alibaba.com，阿里数据：https://dt.alibaba.com
如阿里巴巴全域数据建设：https://dt.alibaba.com/page21.htm?spm=a1zar.8333378.0.0.39a695bbaYKtaZ&acm=lb-zebra-22*****.1003.4.1605791&scm=1003.4.lb-zebra-22*****.OTHER_*****362_1605791
阿里大数据能力集大成者Dataphin：https://dt.alibaba.com/page46.htm?spm=a1zar.8333378.0.0.39a695bbaYKtaZ&acm=lb-zebra-22*****.1003.4.1605791&scm=1003.4.lb-zebra-22*****.OTHER_*****6519_1605791
岗描述：
1. 阿里大数据平台研发，包括采集、建设、管理、服务
2. 阿里数据中台模型设计，研发，优化
3. 阿里数据产品的设计，研发
岗位要求：
1. 计算机、数据、统计等相关专业；有较强的动手能力，熟悉一门数据语言，如JAVA、SQL、Python等
2. 具备良好的沟通能力和团队合作能力，主动积极，乐于面对挑战
3. 有数据处理，分析，挖掘等经验优先，有机器学习，人工智能等相关领域应用的经验优先
部门介绍：
阿里巴巴数据技术与产品部，定位阿里集团数据中台，为阿里生态内外的业务，客户，企业提供全链路，全渠道的数据服务，致力于让大数据『赋能商业，创造价值』
职位招聘6-16人"
助理数据工程师,"数据开发,数据分析",7-10K,深圳,润杨集团（深圳）有限公司,"Python,SQL,Flink,计算机相关专业,大数据开发经验,ETL开发经验",应届生,校招,数据中心其他,2023/1/6,"岗位职责：
﻿1、协助数据产品研发，参于完整的数据采集、数据清洗、数据建模、数据分析、数据可视化建设工作；
2、参与数据策略研究，通过数据变化研究业务策略达成进展，优化并调整业务策略，提出建设性建议；
3、参与数据指标体系的搭建与拓展，针对新场景、新策略、新目标，有效抽象业务逻辑，建立数据模型，设计合理指标；
4、通过因果分析、机器学习等技术以及数学方法，协助拆解业务逻辑，定义业务逻辑变量，进行业务数据预估，指导业务科学决策。
任职要求：
1、计算机、数学、统计学、大数据等相关专业；
2、熟悉多元线性回归、线性统计模型，掌握SQL、Java、Python、R语言等技能优先考虑；
3、态度端正，细心，对数据敏感度高，具备良好的跨部门沟通能力和团队协作能力，充满激情。"
大数据实习生,"数据开发,数据分析",3-5K,济南,山东汇智教育科技发展有限公司,"Python,Hadoop",应届生,校招,数据中心其他,2023/1/6,"任职要求：
1、数据科学与大数据技术专业、计算机科学与技术专业等相关专业2023届应届毕业生。"
数据编辑管培生（23届）,"数据开发,数据分析",5-6K,扬州,东方财富信息股份有限公司,"SQL,数学/统计相关专业,计算机相关专业",应届生,校招,数据中心其他,2023/1/6,"工作职责:
金融数据处理、加工等数据服务管理岗。
任职资格:
1、热爱金融行业，数字敏感性高, 具备卓越的沟通能力和独立解决问题的能力；
2、本科及以上学历，金融学、统计学、应用数学等相关理学专业优先；
3、具备较强的抗压能力，积极进取，责任心强；
4、在班级或系、团、学校各类组织担任过管理职位或有活动组织经验者优先。"
大数据研发工程师,"数据开发,数据分析",10-15K,北京,百度时代网络技术（北京）有限公司,"SQL,Python,大数据,BI",应届生,校招,数据中心其他,2023/1/6,"-负责构建大数据分析平台以及数据分析和挖掘工作
-负责基于百度数据的离线和实时流分析
-参与支撑业务的数据模型建设及数据指标的计算和分析
-参与海量数据的存储、查询和运营数据分析体系搭建
-运用Hadoop、Spark、ES等分布式计算和存储平台
-计算机相关专业应届毕业生
-对Spark及Hadoop技术有深入了解
-熟悉Python/Java/Scala/Php等编程语言，熟练使用SQL，有良好的编码习惯，对分布式有深刻理解
-了解Windows、Unix、Linux等主流操作系统原理，熟练运用系统层支持应用开发
-技术视野开阔，有强烈的上进心和求知欲，善于学习和运用新知识，勇于解决难题
-善于沟通和逻辑表达，拥有优秀的分析问题和解决问题的能力，良好的团队合作精神和积极主动的沟通意识
-有激情，具有自我驱动力，追求卓越
具有以下条件者优先：
-计算机领域相关的编程大赛获奖、专业期刊发表文章或者有发明专利等
-具备大数据云平台、计算存储平台、可视化开发平台经验，熟悉软件工程开发流程
-具备专业领域的计算机知识和技能： Storm/Hive/Hbase/Storm/Kafka等"
大数据研发工程师,"数据开发,数据分析",15-30K,杭州,支付宝（杭州）信息技术有限公司,"Java,Hive,大数据开发经验,计算机相关专业,数学/统计相关专业,Hadoop,flink",应届生,校招,数据中心其他,2023/1/6,"岗位职责
如果你想参与阿里大数据的采集、存储、处理，通过分布式大数据平台加工数据，支持业务管理决策， 如果你想参与蚂蚁集团大数据体系的模型设计、开发、维护，通过元数据、质量体系有效的管理和组织EB级的数据， 如果你想参与阿里大数据产品的研发，发挥你的商业sense，通过数据分析和算法来洞察数据背后的机会，来探索大数据商业化， 如果你想接触世界领先的大数据处理与应用的技术和平台，获得大数据浪潮之巅的各类大牛的指导， 那就加入我们吧！
岗位要求
如果你所学专业是计算机、数学、统计、数据科学与大数据技术等相关专业；
如果你有强的动手能力和学习能力，熟悉一门数据处理语言，如SQL、JAVA、Python、Perl等，熟悉unix或者linux操作；
如果你具备扎实的专业基础，良好的沟通能力和团队合作，主动积极，乐于面对挑战；
如果你有参与过数据处理、分析、挖掘等相关项目更好；
如果你对Hadoop、Hive、Hbase等分布式平台有一定的理解更好；
那么成为数据工程师吧，这里就是你的舞台。
一段全新、有意思的旅程正待开启！为了更全面的展现你自己，你还可以在简历中附上你认为自己最有意思的爱好、特长、经历，或是对未来有意思的畅想，没有限制，此项非必填。加入我们，一起打开有意思的未来！"
大数据技术工程师,"数据开发,数据分析",12-18K,杭州,浙江华为通信技术有限公司,"大数据,数据仓库,数据挖掘,数据治理,数据分析",应届生,校招,数据中心其他,2023/1/6,"岗位要求：
1.	理工科专业硕士及以上学历，计算机、数学、软件工程、通信、电子、统计学等相关专业更优；
2.	具备数据库（oracle、mysql、GuassDB）理论或项目基础；良好的英语基础；
岗位职责：
1.	负责华为大数据产品的技术培训课程开发；
2.	面向华为全球客户进行大数据方向的技术培训交付并提供能力咨询服务。
如果你是：
不爱代码的非典型IT人，来这里用于尝试、一键转身
怀抱教育热忱的实践者，敢于面对全球提出你的解决方案
精通英法西的语言达人，是时候挂上ICT的旗帜一同乘风破浪
我们是：
数字化人才发展的使能者，致力于向全世界提供ICT专业能力发展服务
我们有：
世界领先的5G，以及AI、大数据、云计算；
国际化视野，以国际平台为支点撬起职业生涯；
与华为一脉相承的奋斗者文化，我们相信后浪入海必将奔涌前行；
专业的培训体系和人才发展专家，为你明确的成长方向和目标 。
来这里，你能够：
Relax， 舒心生活
	地处杭州：别致的江南城市，开阔的钱塘江畔；
	人才政策：博士学历补贴5万元，硕士学历补贴3万元，本科学历补贴1万元。
Recharge，自在充电
	二十年沉淀：萃取和传播华为行业/技术/文化的优越实践；
	“高配”环境：全新启用的一流软硬件设施，涵盖华为全系列ICT设备与解决方案，7大产品线实验室。
Rejuvenate，自主转型
	“自主”选择：弹性工作，任务目标自主管理，让工作和生活更好的平衡；
	“校园”文化：图书馆、名师讲座、咖啡厅、灯光球场、兴趣协会等熟悉场景萦绕。"
大数据工程师（2023届）,"数据开发,数据分析",2-3K,大连,亿达信息技术有限公司,SQL,应届生,校招,数据中心其他,2023/1/6,"1、本科以上学历，计算机、数学类相关专业；
2、了解数据库相关知识，可独立编写SQL语句；
3、了解增加编写过存储过程，熟悉数据库原理。"
数据开发工程师,"数据开发,数据分析",9-13K,上海,上海申电云数字科技有限公司,"Java,Python,Hbase,数学/统计相关专业,计算机相关专业",应届生,校招,数据中心其他,2023/1/6,"职责与工作任务
1.负责数据库建设的规划、管理；
2.负责业务系统数据库的设计、开发；
3.负责视图、触发器、存储过程、函数等逻辑功能的设计与实现；
4.负责数据采集、建模、查询、统计、分析、清洗、处理等；
5.负责前沿数据库技术研究、引用；
6.负责数据库高可用、集群研究与开发；
7.负责数据库性能分析与调优、排错、保证数据安全；
8.负责数据库的日常备份与恢复；
9、处理运维服务方面的重大突发事件；
10、参与重大事件信息安全保障工作；
11、完成上级安排的其他工作任务。
任职资格
教育水平：	本科及以上学历
专业要求：	计算机、数据开发相关专业等相关专业
知识要求：	1、熟悉Devops研发流程，熟悉分布式、微服务主流框架开发；
3、对大数据基础架构和平台有深刻理解，对基于Hadoop的大数据体系有深入认识，具备相关产品(Hadoop、Hive、HBase、Pig等)项目应用研发经验，有MapReduce开发的实战经验；
4、 熟悉分布式存储和NoSQL数据库技术(如MonogoDB、Redis、Cassandra等)，有实际生产项目应用经验；
5、对linux有丰富的使用及排故经验及基础运维能力；
技能能力：	1、熟悉Teradata、Oracle、Greenplum、Mysql、PGSQL、DB2、Netezza等主流数据库的一种或多种。
2、熟悉Hadoop生态圈Hive、Impala、Kudu、Spark、Sqoop等一种或多种。
3、熟悉HBASE、Cassandra、MongoDB等NOSQL数据库的一种或多种。
4、精通掌握数据查询语言SQL、存储过程等开发技术,可以熟练和快速进行复杂SQL语句编写和ETL开发。
5、熟悉Linux/Unix操作系统,具备一定的开发能力,熟悉至少一门脚本语言(shell/PERL等)；熟悉至少一门编程语言(Java、Python、.NET、C/C++等)；
6、良好的框架思维能力和优先级判断力
7、具有较强的沟通能力、逻辑能力和自我学习能力，责任心强，细心耐心；
8、易沟通，良好的表达能力，责任心强，考虑问题细致，执行力强；
9、有在大数据、云计算、AI方面的项目经验。
个人素质：	良好的沟通能力、团队精神和服务意识；具备较强的抗压能力，较好的解决问题能力；具有优秀的自主学习能力，自我管理能力，具有高度责任心；无犯罪记录，无违反职业道德行为记录。"
数据库助理工程师,"数据开发,数据分析",8-10K,成都,成都国星宇航科技股份有限公司,"Java,Python,计算机相关专业",应届生,校招,数据中心其他,2023/1/6,"岗位职责：
(1)负责海量多源地理时空数据存档管理系统的优化设计与开发,包括空间数据库架构设计，空间数据库表性能优化，遥感、GIS等空间数据的管理等；
(2)负责数据存档管理系统的运行维护；
(3)负责公司各类数据资产的存档管理，以及存量数据的定期盘点统计。
任职要求：
(1)地理信息系统、计算机、软件工程等相关专业；
(2)熟悉linux操作系统，熟练掌握SQL数据库查询语句，熟悉Java、Python等常用编程语言；
(3)熟悉PostGIS、PostgreSQL、MySQL等常用开源数据库设计与优化
(4)地理信息系统/计算机科学与技术/信息管理与信息系统等相关专业优先"
数据工程师（2023校招）,"数据开发,数据分析",10-11K,上海,上海吉祥航空股份有限公司,"Kafka,Java,Flink,大数据开发经验,ETL开发经验,计算机相关专业,Hadoop",应届生,校招,数据中心其他,2023/1/6,"岗位职责:
1：负责企业数据中台的数据仓库的实施开发ETL过程与基于Flink计算加工的设计与开发
2：负责企业数据中台建设，设计数据逻辑和物理模型并完成相关开发工作
3：负责数据模型的运营优化，及时响应业务系统的变更，保证模型的数据质量和稳定性
4：根据数据应用开发和数据分析需求推进业务信息中心建设，提高数据使用效率
5：负责公司数据标签体系建设，并推动标签体系在实际业务场景中落地
6：负责各业务系统数据源数据探查调研，准确性完整性验证
7：数据同步及计算任务的日常管理，跑批，维护，监控
8：数据管道的建设与迭代, 离线数据与实时数据的平滑过渡
任职要求:
1.2023年度本科及以上学历应届毕业生，计算机科学与技术、软件工程相关专业优先；
2.学习、沟通能力强，有多人协作能力，了解业务分析场景。
3.熟悉软件开发流程、数据库基本原理、JAVA开发、算法基础；
4.掌握大数据平台hadoop、flink引擎，熟悉MapReduce工作原理；
5.有各技术组件的实践经验（kafka、elasticsearch、ck、hive等）；
6.对开源软件有研究或自身参与过开源项目；
发展方向/培养路径：
发展路径：初级数据工程师——中级数据工程师———高级数据工程师——架构师/研发主管"
数据开发工程师,"数据开发,数据分析",22-30K,北京,北京京东世纪贸易有限公司,"数据开发,Java,分布式技术,Hadoop,Spark,大数据,Flink,Kafka",应届生,校招,数据中心其他,2023/1/6,"京东商业提升事业部广告数据部2022年校招招聘
在这里，
您将有机会接触京东商城及广告的海量数据，
参与大规模分布式高并发实时系统的建设，
熟悉流行的大数据计算平台工具，如Kafka、Hadoop、Hive、Spark、Flink、Storm等，
加入基于机器学习深度学习的算法优化与落地，
参与打造业内领先的广告数据算法及风控系统，推动京东商城及广告业务的快速发展。
此次我们有如下职位方向：
【数据开发工程师】
数据收集、处理、挖掘是智能广告投放系统的先决条件，这一工作在技术上又是极富挑战的：我们需要从前端的大量服务器中快速、可靠地收集数据，进行业务逻辑处理，利用大数据技术建立数据模型及pipeline，提供给客户、业务方及研发人员，帮助他们进行业务决策。
岗位职责：
1. 打造高效、稳健的全链路数据处理框架，开发实时、高可靠、强一致的广告计费系统、统计和播放控制等
2. 提供集数据接入、计算、分发于一体的一站式数据解决方案
3. 沟通并理解广告业务，能将方案迅速实现和落地，助力产品的迭代
职位要求：
1. 全日制本科及以上学历，计算机相关专业
2. 对大数据处理、分布式存储等技术有热情，能主动跟踪最新的技术进展
3. 扎实的计算机专业基础知识，编程基础和数据结构算法基础
4. 熟练掌握Java、Scala，对jvm有深入了解者优先
5. 熟练掌握Shell、Python任意一门语言者优先
6. 有Hadoop stack（Mapreduce, Hive, Pig, Oozie, Spark, Flink）经验和low latency大数据处理和存储系统经验者优先
【联系方式】
请直接在boss上发送简历
我们的工作地点在北京朝阳区北辰世纪中心（国家体育场“鸟巢”边上），欢迎大家来人来函联系。
职位招聘2-4人"
大数据工程师（实习）,"数据开发,数据分析",2-3K,福州,南威软件股份有限公司,Python,应届生,校招,数据中心其他,2023/1/6,"职位详情
1、熟悉脚本语言，java、python等开发语言程序开
始、或者工具，进行结构化、半结构化、非结构化等
数据抽取，清洗转换的大数据ETL开发。
2、熟悉hadoop、spark、fink等大数据平台架构，
通过sqL、脚本、程序或者工具进行数据处理计算。
3、了解api服务网关，熟悉sql、java,进行数据服
务开发。
4、了解数据治理方法，通过sql、脚本、程序或者工具进行数据治理开发。熟悉大数据架构，数仓的设计能力，能带领团队进行大数据项目开发，客户需求沟通，具备一定的方案编写能力。政务，公安行业经验优先。"
数据库开发工程师,"数据开发,数据分析",5-10K,天津,天津众齐软件股份有限公司,DBA,应届生,校招,数据中心其他,2023/1/6,"1、系统报表模块的开发；
2、项目数据库数据的分析、清洗、迁移、验证；
3、数据库SQL开发、审核、优化；
4、数据库结构设计、优化；
5、部门交付的其他研发工作。
职位要求：
1、计算机软件相关专业，本科以上学历；
2、精通Mysql、Oracle、SQLServer等数据库；
3、熟悉SQL编程，具备较好的SQL调试和优化能力；
4、善于沟通，具有团队合作精神，思维清晰，细致耐心，责任心强，能独立完成工作；
5、有Java开发能力者优先。
职位招聘2-5人"
数据库开发工程师,"数据开发,数据分析",15-30K,北京,华为云计算技术有限公司,"Java,C++,Python,计算机相关专业,数学/统计相关专业",应届生,校招,数据中心其他,2023/1/6,"岗位职责
数据库是IT行业里诞生图灵奖获得者最多的领域。在这里，你将与众多国内外数据库、数据分析领域的业界顶尖高手共事， 你将会负责数据库/数据仓库需求分析、系统/子系统模块的设计、关键模块和算法的编码实现，单元测试、系统测试全流程的工作。
岗位要求
1、计算机、软件、通信、数学等相关专业本科及以上学历，有志于云化、智能化数据管理、数据库相关研发工作；
2、热爱编程，熟练掌握C/C++/JAVA/python/shell/Perl中一种及以上编程语言；
3、满足以下四项其中之一的优先考虑：
1）熟悉MySQL 、PostgreSQL、Amazon Aurora、Azure SQL、SQLServer、MongoDB、Cassandra、Spanner、Redis、Sqlite其中之一的基本原理；
2）熟悉与Oracle、DB2、Sybase等相关的主流数据产品及应用；
3）了解虚拟化（存储/网络）、Hadoop或MapReduce等数据库相关技术；
4）了解云数据库服务和数据迁移相关技术。"
【2022届实习】数据研发,"数据开发,数据分析",16-26K,杭州,杭州阿里巴巴网络科技有限公司,"SQL,Python,Java,Spark,HDFS,Hadoop,MapReduce,大数据",应届生,校招,数据中心其他,2023/1/6,"【硬性要求】毕业时间：2021.11 - 2022.10
岗位职责
部门：企业智能事业部-阿里大脑团队-企业数据平台
岗位：实习数据研发工程师
期望专业：计算机、数学、统计相关类专业，如果你足够优秀，其实专业也不是问题。
期望掌握技能：SQL、python、java等编程语言掌握其一都可以，数据库、计算机基础、操作系统等计算机基础扎实，机器学习、统计分析经验都有加分。
如果说，DT重新定义了电商数据、蚂蚁重新定义了金融数据、菜鸟重新定义了物流数据，那么阿里大脑，则重新定义了“企业数据“。阿里大脑基于产品、业务、组织等视角，把工作行为数字化，通过资源盘点和效能分析，综合考虑产品、业务、组织的投资回报率和未来价值，辅助中高层管理者进行智能管理和决策。阿里大脑代表了未来企业数字化的转型方向，是”数字新基建“的排头兵。春节期间的数字化战”疫“的过程，让大家充分感受到企业数字化的便利和安全！
如果你对组织经营管理感兴趣，如果你对数字化决策有思考和想法，那么你就是我们要寻找的“同路人”。这里鸾翔凤集，汇聚了许多行业内的中流砥柱，助你竿头直上；这里有丰富的场景和海量的数据，让你绽放光芒。你搭建的每一个架构，你敲下的每一行代码，你制定的每一次策略，都会成为改变世界的力量。
因为相信，所以看见，我们欢迎心怀共同梦想的同学加入，让我们一起探索组织经营管理数字化决策之路！
职位招聘3人"
大数据技术课程设计,"数据开发,数据分析",8-12K,北京,北京智一科技有限公司,"Spark,Flink,Hadoop,数据科学与大数据相关",应届生,校招,数据中心其他,2023/1/6,"智东西公开课是由智一科技打造的专注新兴科技的知识服务产品与产业服务平台，现阶段关注AI/ML、集成电路、自动驾驶、大数据、光电传感五大新兴技术，旗下产品组合包括讲座、系列课、企业公开课、在线研讨会、线下论坛。
岗位职责
1、大数据与隐私计算方向系列课的开发设计与直播组织；
2、大数据与隐私计算方向微信公众号的内容建设和日常编辑；
3、大数据与隐私计算方向企业公开课及在线研讨会的设计支撑；
工作要求
1、本科及以上学历，大数据与数据科学、计算机等相关专业；
2、熟悉Hadoop、Spark、Flink、Hive等主流的大数据技术；
3、加分项：有机器学习或密码学相关基础；
 4、学习能力强，有不错的沟通能力以及一定的文字功底；"
数据研发岗-校招实习,"数据开发,数据分析",15-25K,杭州,阿里巴巴（中国）软件有限公司,"Python,Java,Shell,SQL,Hadoop,Storm,Spark,Flume",应届生,校招,数据中心其他,2023/1/6,"岗位描述:
如果你想接触新零售业务，同时还想接触世界领先的大数据处理与应用的技术和平台，获得大数据浪潮之巅的各类大牛的指导， 那就加入我们吧！
在这里，你可参与大数据的采集、存储、处理，通过分布式大数据平台加工数据，支持业务管理决策！ 在这里，你可参与大数据体系的模型设计、开发、维护，通过元数据、质量体系有效的管理和组织EB级的数据!  在这里，你还可以参与数据产品的研发，发挥你的商业sense，通过数据分析和算法来洞察数据背后的机会，来探索大数据商业化！
在这里，你可以学习新零售的商业经！
岗位要求:
如果你所学专业是计算机、数学、统计、数据科学与大数据技术等相关专业； 如果你有强的动手能力和学习能力，熟悉一门数据处理语言，如SQL、JAVA、Python、Perl等，熟悉unix或者linux操作； 如果你具备扎实的专业基础，良好的沟通能力和团队合作，主动积极，乐于面对挑战； 如果你有参与过数据处理、分析、挖掘等相关项目更好； 如果你对Hadoop、Hive、Hbase等分布式平台有一定的理解更好； 那么成为数据工程师吧，这里就是你的舞台。
职位招聘6人"
数据开发工程师,"数据开发,数据分析",9-14K,北京,北京深演智能科技股份有限公司,"Python,Scala,Spark,Hadoop,Presto",应届生,校招,数据中心其他,2023/1/6,"工作职责： 1、基于深演云平台（包括不限于hadoop、storm、spark、Hbase、Presto等框架），参与各产品线的开发和优化； 2、通过数据分析和数据挖掘，支撑精细化运营及决策； 3、承担每天300亿+数据增量的系统可靠性、高效性优化工作； 4、参与人工智能算法在大数据平台的工程化、产品化、标准化工作。 任职资格： 1、本科及以上学历，计算机相关专业； 2、良好的编程基础、数据结构基础、数据库基础； 3、熟练使用至少一种常见程序语言，如Java/Python/Scala/C/C++/Go； 4、有Hadoop等大数据实习经验者优先； 5、优秀的学习能力，具备良好的团队意识，积极主动，对大数处理充满热情。
职位招聘2人"
